Index,Latitude,Longitude
222,40.724855,-74.004656
223,40.724359,-74.004726
224,40.72426,-74.004739
225,40.71811,-73.976879
226,40.717882,-73.976071
227,40.7178,-73.976027
228,40.714489,-73.974901
229,40.715169,-73.977132
230,40.715528,-73.978282
231,40.7157,-73.978795
232,40.718027,-73.986589
233,40.71776,-73.985849
234,40.71762,-73.985833
235,40.717529,-73.985532
236,40.717142,-73.984257
237,40.756494,-73.953333
238,40.756503,-73.953356
239,40.757978,-73.956731
240,40.759597,-73.960538
241,40.759771,-73.96082
242,40.760187,-73.961767
243,40.762079,-73.961989
244,40.762721,-73.96157
245,40.759636,-73.963997
246,40.759693,-73.963957
247,40.759768,-73.963904
248,40.760012,-73.963761
249,40.760125,-73.963681
250,40.760584,-73.962703
251,40.760615,-73.962769
252,40.760636,-73.962808
253,40.760652,-73.962833
254,40.760669,-73.962852
255,40.760698,-73.962864
256,40.760718,-73.962854
257,40.760727,-73.962834
258,40.760725,-73.962807
259,40.760709,-73.962759
260,40.760652,-73.962605
261,40.760613,-73.962491
262,40.760485,-73.962174
263,40.760411,-73.962072
264,40.760253,-73.961693
265,40.76019,-73.961545
266,40.760816,-73.962898
267,40.761389,-73.962462
268,40.761441,-73.962423
269,40.749258,-74.006655
270,40.749397,-74.006554
271,40.749464,-74.00653
272,40.749501,-74.006537
273,40.749532,-74.006558
274,40.749541,-74.006569
275,40.739354,-74.009624
276,40.739026,-74.009674
277,40.738956,-74.009691
278,40.738888,-74.009725
279,40.738841,-74.009788
280,40.738812,-74.009906
281,40.73443,-74.006161
282,40.73429,-74.007162
283,40.73409,-74.008491
284,40.733863,-74.009969
285,40.733868,-74.010097
286,40.73454,-74.010037
287,40.734564,-74.009898
288,40.73479,-74.008436
289,40.735,-74.00698
290,40.73513,-74.006047
291,40.732671,-74.008606
292,40.73247,-74.009868
293,40.732438,-74.010095
294,40.732418,-74.010236
295,40.729764,-74.01084
296,40.729762,-74.010781
297,40.729769,-74.010747
298,40.729784,-74.010726
299,40.729827,-74.010718
300,40.72984,-74.010703
301,40.729842,-74.010679
